Position,Name,Salary,GameInfo,AvgPointsPerGame,TeamAbbrev 
WR,Bryce Treggs,3000,MIN@CLE 10/29/2017 09:30AM ET,,CLE
RB,Danny Vitale,3000,MIN@CLE 10/29/2017 09:30AM ET,,CLE
WR,Stacy Coley,3000,MIN@CLE 10/29/2017 09:30AM ET,,MIN
WR,Rashard Higgins,3000,MIN@CLE 10/29/2017 09:30AM ET,,CLE
RB,Matthew Dayes,3000,MIN@CLE 10/29/2017 09:30AM ET,,CLE
WR,Rodney Adams,3000,MIN@CLE 10/29/2017 09:30AM ET,,MIN
RB,C.J. Ham,3000,MIN@CLE 10/29/2017 09:30AM ET,,MIN
RB,Taiwan Jones,3000,OAK@BUF 10/29/2017 01:00PM ET,,BUF
RB,Patrick DiMarco,3000,OAK@BUF 10/29/2017 01:00PM ET,,BUF
WR,Walter Powell,3000,OAK@BUF 10/29/2017 01:00PM ET,,BUF
RB,Jamize Olawale,3000,OAK@BUF 10/29/2017 01:00PM ET,,OAK
WR,Cordarrelle Patterson,3000,OAK@BUF 10/29/2017 01:00PM ET,,OAK
WR,Johnny Holton,3000,OAK@BUF 10/29/2017 01:00PM ET,,OAK
WR,Kamar Aiken,3000,IND@CIN 10/29/2017 01:00PM ET,,IND
RB,George Winn,3000,IND@CIN 10/29/2017 01:00PM ET,,IND
TE,Tyler Kroft,3000,IND@CIN 10/29/2017 01:00PM ET,,CIN
WR,Quan Bray,3000,IND@CIN 10/29/2017 01:00PM ET,,IND
RB,Josh Ferguson,3000,IND@CIN 10/29/2017 01:00PM ET,,IND
RB,Tra Carson,3000,IND@CIN 10/29/2017 01:00PM ET,,CIN
WR,Alex Erickson,3000,IND@CIN 10/29/2017 01:00PM ET,,CIN
RB,Matt Jones,3000,IND@CIN 10/29/2017 01:00PM ET,,IND
WR,Cody Core,3000,IND@CIN 10/29/2017 01:00PM ET,,CIN
WR,Chester Rogers,3000,IND@CIN 10/29/2017 01:00PM ET,,IND
WR,Josh Malone,3000,IND@CIN 10/29/2017 01:00PM ET,,CIN
WR,Matthew Slater,3000,LAC@NE 10/29/2017 01:00PM ET,,NE
RB,James Develin,3000,LAC@NE 10/29/2017 01:00PM ET,,NE
RB,Brandon Bolden,3000,LAC@NE 10/29/2017 01:00PM ET,,NE
RB,Andre Williams,3000,LAC@NE 10/29/2017 01:00PM ET,,LAC
RB,Derek Watt,3000,LAC@NE 10/29/2017 01:00PM ET,,LAC
WR,Dontrelle Inman,3000,CHI@NO 10/29/2017 01:00PM ET,,CHI
RB,Zach Line,3000,CHI@NO 10/29/2017 01:00PM ET,,NO
RB,Benny Cunningham,3000,CHI@NO 10/29/2017 01:00PM ET,,CHI
WR,Josh Bellamy,3000,CHI@NO 10/29/2017 01:00PM ET,,CHI
RB,Michael Burton,3000,CHI@NO 10/29/2017 01:00PM ET,,CHI
WR,Tre McBride,3000,CHI@NO 10/29/2017 01:00PM ET,,CHI
